D. melanogaster
Number of nodes: 138
Number of edges: 1653
Simplified Graph:
Number of nodes: 138
Number of edges: 864
run time : 0.213 seconds
three node graphlet counts
((1, 1), (1, 1), (1, 1)) = 1399
((0, 1), (0, 1), (1, 1)) = 11269
((0, 1), (0, 4), (1, 5)) = 165
((1, 1), (1, 4), (1, 5)) = 100
((0, 1), (0, 2), (1, 3)) = 971
((1, 2), (1, 7), (3, 7)) = 6
((0, 1), (0, 7), (1, 7)) = 228
((0, 1), (0, 5), (1, 4)) = 188
((1, 2), (1, 4), (3, 5)) = 9
((0, 1), (0, 3), (1, 2)) = 708
((1, 1), (1, 2), (1, 3)) = 198
((1, 1), (1, 6), (1, 6)) = 31
((0, 1), (0, 6), (1, 6)) = 199
((1, 2), (1, 2), (3, 3)) = 12
((0, 2), (0, 2), (3, 3)) = 204
((0, 2), (0, 7), (3, 7)) = 76
((0, 2), (0, 5), (3, 4)) = 31
((0, 2), (0, 3), (2, 3)) = 161
((0, 2), (0, 4), (3, 5)) = 83
((1, 1), (1, 7), (1, 7)) = 32
((1, 4), (1, 7), (5, 7)) = 12
((1, 5), (1, 7), (4, 7)) = 1
((1, 4), (1, 4), (5, 5)) = 3
((1, 3), (1, 5), (2, 4)) = 1
((4, 5), (4, 7), (5, 7)) = 2
((4, 4), (5, 7), (5, 7)) = 3
((1, 5), (1, 6), (4, 6)) = 1
((0, 5), (0, 7), (4, 7)) = 7
((7, 7), (7, 7), (7, 7)) = 1
((1, 7), (1, 7), (7, 7)) = 3
((4, 7), (5, 7), (7, 7)) = 2
((0, 3), (0, 7), (2, 7)) = 44
((2, 7), (3, 5), (4, 7)) = 3
((0, 6), (0, 7), (6, 7)) = 19
((2, 7), (3, 4), (5, 7)) = 1
((4, 7), (5, 6), (6, 7)) = 1
((0, 7), (0, 7), (7, 7)) = 3
((1, 3), (1, 3), (2, 2)) = 7
((2, 2), (3, 7), (3, 7)) = 19
((1, 4), (1, 6), (5, 6)) = 1
((0, 3), (0, 4), (2, 5)) = 21
((0, 4), (0, 6), (5, 6)) = 13
((0, 4), (0, 7), (5, 7)) = 12
((2, 5), (3, 5), (4, 4)) = 3
((2, 4), (2, 5), (3, 3)) = 8
((1, 4), (1, 5), (4, 5)) = 1
((2, 5), (3, 7), (4, 7)) = 1
((0, 4), (0, 5), (4, 5)) = 12
((0, 4), (0, 4), (5, 5)) = 5
((4, 4), (4, 5), (5, 5)) = 1
((1, 3), (1, 4), (2, 5)) = 3
((2, 3), (2, 4), (3, 5)) = 2
((0, 2), (0, 6), (3, 6)) = 117
((0, 3), (0, 5), (2, 4)) = 27
((1, 5), (1, 5), (4, 4)) = 1
((2, 4), (3, 5), (4, 5)) = 1
((1, 2), (1, 5), (3, 4)) = 3
((1, 3), (1, 7), (2, 7)) = 4
((1, 6), (1, 7), (6, 7)) = 1
((0, 5), (0, 5), (4, 4)) = 3
((0, 5), (0, 6), (4, 6)) = 7
((0, 3), (0, 3), (2, 2)) = 176
((2, 2), (2, 3), (3, 3)) = 23
((0, 3), (0, 6), (2, 6)) = 75
((0, 6), (0, 6), (6, 6)) = 9
((6, 6), (6, 7), (6, 7)) = 3
((2, 3), (2, 6), (3, 6)) = 3
((2, 6), (3, 6), (6, 6)) = 2
((1, 2), (1, 6), (3, 6)) = 8
