((0, 1), (0, 1), (1, 1)) : 0
((0, 1), (0, 4), (1, 5)) : 1
((0, 1), (0, 5), (1, 4)) : 2
((0, 4), (0, 4), (5, 5)) : 3
((0, 5), (0, 5), (4, 4)) : 4
((0, 1), (0, 3), (1, 2)) : 10
((0, 1), (0, 2), (1, 3)) : 11
((0, 2), (0, 4), (3, 5)) : 13
((0, 2), (0, 5), (3, 4)) : 14
((0, 3), (0, 5), (2, 4)) : 15
((0, 3), (0, 4), (2, 5)) : 16
((0, 2), (0, 2), (3, 3)) : 22
((0, 3), (0, 3), (2, 2)) : 23
((0, 2), (0, 3), (2, 3)) : 24
((1, 1), (1, 1), (1, 1)) : 28
((1, 1), (1, 4), (1, 5)) : 29
((1, 4), (1, 4), (5, 5)) : 30
((1, 5), (1, 5), (4, 4)) : 31
((1, 1), (1, 2), (1, 3)) : 44
((1, 2), (1, 4), (3, 5)) : 45
((1, 3), (1, 5), (2, 4)) : 48
((1, 2), (1, 2), (3, 3)) : 70
((1, 2), (1, 3), (2, 3)) : 71
((1, 3), (1, 3), (2, 2)) : 72
((2, 4), (2, 5), (3, 3)) : 76
((2, 2), (3, 4), (3, 5)) : 77
((2, 3), (2, 4), (3, 5)) : 78
((2, 2), (2, 3), (3, 3)) : 92
